Word,NounOrVerb,Subclass
man,noun,human
woman,noun,human
boy,noun,human
girl,noun,human
cat,noun,animal
dog,noun,animal
mouse,noun,animal
lion,noun,animal
dragon,noun,animal
monster,noun,animal
lion,noun,aggressive
dragon,noun,aggressive
monster,noun,aggressive
glass,noun,fragile
plate,noun,fragile
sandwich,noun,food
cookie,noun,food
bread,noun,food
book,noun,inanimate
rock,noun,inanimate
glass,noun,inanimate
plate,noun,inanimate
sandwich,noun,inanimate
cookie,noun,inanimate
bread,noun,inanimate
car,noun,inanimate
think,verb,intransitive
sleep,verb,intransitive
exist,verb,intransitive
smell,verb,transitive
move,verb,transitive
see,verb,transitive
break,verb,transitive
smash,verb,transitive
like,verb,transitive
chase,verb,transitive
eat,verb,transitive
move,verb,agentpatient
break,verb,agentpatient
smell,verb,agentpatient
see,verb,agentpatient
see,verb,perception
smell,verb,perception
break,verb,destroy
smash,verb,destroy
eat,verb,eat